"Field";"Type";"Null";"Key";"Default";"Extra"
"id";"bigint(20)";"NO";"PRI";;""
"ticket_id";"bigint(20)";"NO";"MUL";;""
"article_type_id";"smallint(6)";"NO";"MUL";;""
"article_sender_type_id";"smallint(6)";"NO";"MUL";;""
"a_from";"text";"YES";"";;""
"a_to";"text";"YES";"";;""
"a_cc";"text";"YES";"";;""
"a_subject";"text";"YES";"";;""
"a_body";"mediumtext";"NO";"";;""
"incoming_time";"int(11)";"NO";"";;""
