"Field";"Type";"Null";"Key";"Default";"Extra"
"source_object_id";"smallint(6)";"NO";"PRI";;""
"source_key";"varchar(50)";"NO";"PRI";;""
"target_object_id";"smallint(6)";"NO";"PRI";;""
"target_key";"varchar(50)";"NO";"PRI";;""
"type_id";"smallint(6)";"NO";"PRI";;""
"state_id";"smallint(6)";"NO";"MUL";;""
"create_time";"datetime";"NO";"";;""
"create_by";"int(11)";"NO";"MUL";;""
